corp,meth,mmr,pone,pfive,ndcg
fbis,LM,0.4084,0.6174,0.2940,0.3014
,+R2,0.2109,0.2302,0.1223,0.1245
,,(-48\%),(-63\%),(-58\%),(-59\%)
,+R1,0.2441,0.2953,0.1584,0.1569
,,(-40\%),(-52\%),(-46\%),(-48\%)
,+R1+R2,0.1871,0.2014,0.1137,0.1139
,,(-54\%),(-67\%),(-61\%),(-62\%)
latimes,LM,0.5451,0.6067,0.3133,0.3407
,+R2,0.2260,0.2014,0.1137,0.1146
,,(-59\%),(-67\%),(-64\%),(-66\%)
,+R1,0.3245,0.3200,0.2027,0.2024
,,(-40\%),(-47\%),(-35\%),(-41\%)
,+R1+R2,0.2408,0.2086,0.1295,0.1327
,,(-56\%),(-66\%),(-59\%),(-61\%)
ft,LM,0.5875,0.7667,0.3920,0.4125
,+R2,0.2077,0.2158,0.1165,0.1125
,,(-65\%),(-72\%),(-70\%),(-73\%)
,+R1,0.3225,0.3333,0.1773,0.1825
,,(-45\%),(-57\%),(-55\%),(-56\%)
,+R1+R2,0.2354,0.1799,0.1295,0.1321
,,(-60\%),(-77\%),(-67\%),(-68\%)
